FA/FD/FR,Case No,status,time,commands,energy
FR,FR072,File Not Found,-1,-1,-1
FR,FR073,File Not Found,-1,-1,-1
FR,FR074,File Not Found,-1,-1,-1
FR,FR075,File Not Found,-1,-1,-1
FR,FR076,File Not Found,-1,-1,-1
FR,FR077,File Not Found,-1,-1,-1
FR,FR078,File Not Found,-1,-1,-1
FR,FR079,File Not Found,-1,-1,-1
FR,FR080,File Not Found,-1,-1,-1
FR,FR081,File Not Found,-1,-1,-1
FR,FR082,File Not Found,-1,-1,-1
FR,FR083,File Not Found,-1,-1,-1
FR,FR084,File Not Found,-1,-1,-1
FR,FR085,File Not Found,-1,-1,-1
FR,FR086,File Not Found,-1,-1,-1
FR,FR087,File Not Found,-1,-1,-1
FR,FR088,File Not Found,-1,-1,-1
FR,FR089,File Not Found,-1,-1,-1
FR,FR090,File Not Found,-1,-1,-1
FR,FR091,File Not Found,-1,-1,-1
FR,FR092,File Not Found,-1,-1,-1
FR,FR093,File Not Found,-1,-1,-1
FR,FR094,File Not Found,-1,-1,-1
FR,FR095,File Not Found,-1,-1,-1
FR,FR096,File Not Found,-1,-1,-1
FR,FR097,File Not Found,-1,-1,-1
FR,FR098,File Not Found,-1,-1,-1
FR,FR099,File Not Found,-1,-1,-1
FR,FR100,File Not Found,-1,-1,-1
FR,FR101,File Not Found,-1,-1,-1
FR,FR102,File Not Found,-1,-1,-1
FR,FR103,File Not Found,-1,-1,-1
FR,FR104,File Not Found,-1,-1,-1
FR,FR105,File Not Found,-1,-1,-1
FR,FR106,File Not Found,-1,-1,-1
FR,FR107,File Not Found,-1,-1,-1
FR,FR108,File Not Found,-1,-1,-1
FR,FR109,File Not Found,-1,-1,-1
FR,FR110,File Not Found,-1,-1,-1
FR,FR111,File Not Found,-1,-1,-1
FR,FR112,File Not Found,-1,-1,-1
FR,FR113,File Not Found,-1,-1,-1
FR,FR114,File Not Found,-1,-1,-1
FR,FR115,File Not Found,-1,-1,-1
